ENSGACT00000021442.1	selenot2
ENSGACT00000022221.1	cops2
ENSGACT00000022227.1	cops2
ENSGACT00000022229.1	fgf7
ENSGACT00000022234.1	dtwd1
ENSGACT00000022236.1	dtwd1
ENSGACT00000022261.1	nnt2
ENSGACT00000022264.1	nnt2
ENSGACT00000022266.1	nnt2
ENSGACT00000022268.1	nnt2
ENSGACT00000022273.1	spata5l1
ENSGACT00000029270.1	MIR147B
ENSGACT00000022277.1	slc30a4
ENSGACT00000022279.1	slc30a4
ENSGACT00000022284.1	slc30a4
ENSGACT00000022287.1	bloc1s6
ENSGACT00000022294.1	mibp2
ENSGACT00000022297.1	mibp2
ENSGACT00000022305.1	HAPLN3 (1 of many)
ENSGACT00000022311.1	MFGE8 (1 of many)
ENSGACT00000022313.1	MFGE8 (1 of many)
ENSGACT00000022323.1	abhd2a
ENSGACT00000022324.1	abhd2a
ENSGACT00000022325.1	rlbp1a
ENSGACT00000022328.1	slc39a1
ENSGACT00000022334.1	zgc:77041
ENSGACT00000022337.1	smad6a
ENSGACT00000022339.1	smad6a
ENSGACT00000022350.1	map2k5
ENSGACT00000022351.1	map2k5
ENSGACT00000022357.1	pias1a
ENSGACT00000022358.1	rxfp3.3a3
ENSGACT00000022379.1	uacab
ENSGACT00000022384.1	TLE3 (1 of many)
ENSGACT00000022388.1	TLE3 (1 of many)
ENSGACT00000022394.1	kif23 (1 of many)
ENSGACT00000022396.1	kif23 (1 of many)
ENSGACT00000022401.1	paqr5a
ENSGACT00000022404.1	paqr5a
ENSGACT00000022408.1	paqr5a
ENSGACT00000022410.1	glcea
ENSGACT00000022415.2	anp32a
ENSGACT00000022414.1	anp32a
ENSGACT00000022423.1	coro2bb
ENSGACT00000022429.1	itga11a
ENSGACT00000022432.1	itga11a
ENSGACT00000022434.1	rxfp3.3a2
ENSGACT00000022438.1	ADAMTS7
ENSGACT00000022442.1	calml4a
ENSGACT00000022443.1	cln6a
ENSGACT00000022447.1	cln6a
ENSGACT00000022449.1	cln6a
ENSGACT00000022470.1	chrna7
ENSGACT00000022473.1	chrna7
ENSGACT00000022477.1	trip4
ENSGACT00000022481.1	trip4
ENSGACT00000022482.1	znf609b
ENSGACT00000022485.1	znf609b
ENSGACT00000022487.1	gramd2aa
ENSGACT00000022489.1	gramd2aa
ENSGACT00000022493.1	senp8
ENSGACT00000022504.1	myo9aa
ENSGACT00000022506.1	myo9aa
ENSGACT00000022512.1	scamp2l
ENSGACT00000022516.1	scamp2l
ENSGACT00000022525.1	bbs4
ENSGACT00000022527.1	bbs4
ENSGACT00000022530.1	bbs4
ENSGACT00000022536.1	neo1b
ENSGACT00000022541.1	snx1b
ENSGACT00000022546.1	csnk1g1
ENSGACT00000022547.1	csnk1g1
ENSGACT00000022549.1	rps17
ENSGACT00000022552.1	rps17
ENSGACT00000022569.1	slc22a18
ENSGACT00000022573.1	slc22a18
ENSGACT00000022577.2	NR2E3
ENSGACT00000022592.1	mpped2a
ENSGACT00000022598.1	zdhhc13
ENSGACT00000022601.1	zdhhc13
ENSGACT00000022605.1	csrp3
ENSGACT00000022606.1	e2f8
ENSGACT00000022612.1	nav2a
ENSGACT00000022613.1	nav2a
ENSGACT00000022616.1	htatip2
ENSGACT00000022617.1	htatip2
ENSGACT00000022621.1	prmt3
ENSGACT00000022623.1	slc6a5
ENSGACT00000029416.1	RF00573
ENSGACT00000029455.1	RF00573
ENSGACT00000029456.1	RF00573
ENSGACT00000022635.2	LRP4
ENSGACT00000022643.2	MAPK8IP1
ENSGACT00000022649.1	CHST1
ENSGACT00000022654.1	slc35c1
ENSGACT00000022655.1	slc35c1
ENSGACT00000022657.1	slc1a2a
ENSGACT00000022665.1	apip
ENSGACT00000022666.1	si:dkey-6l15.1
ENSGACT00000022676.1	hsd17b12b
ENSGACT00000022683.1	ttc17
ENSGACT00000022691.1	traf6
ENSGACT00000022697.1	trpm5
ENSGACT00000022699.1	kcnq1
ENSGACT00000022700.1	lingo1b
ENSGACT00000022702.1	luzp2
ENSGACT00000022706.1	fibinb
ENSGACT00000022709.1	bbox1
ENSGACT00000022711.1	madd
ENSGACT00000022713.1	nr1h3
ENSGACT00000022716.1	cd151l
ENSGACT00000022717.1	cd151l
ENSGACT00000022733.1	cfap70
ENSGACT00000022755.1	ddb1
ENSGACT00000022794.1	taldo1
ENSGACT00000022801.1	taldo1
ENSGACT00000022824.1	ctsd
ENSGACT00000022845.1	arfgap2
ENSGACT00000022847.1	arfgap2
ENSGACT00000022857.1	pex16
ENSGACT00000022869.1	cars
ENSGACT00000022871.1	cars
ENSGACT00000022875.1	cars
ENSGACT00000022881.1	crybgx
ENSGACT00000022898.1	dapk2a
ENSGACT00000022901.1	dapk2a
ENSGACT00000022910.1	dis3l
ENSGACT00000022911.1	socs4
ENSGACT00000022913.1	socs4
ENSGACT00000022918.1	wdhd1
ENSGACT00000022924.1	gch1
ENSGACT00000022928.2	gch1
ENSGACT00000022930.1	gch1
ENSGACT00000022932.2	samd4a
ENSGACT00000022935.1	pacsin3
ENSGACT00000022939.1	pacsin3
ENSGACT00000022949.1	aph1b
ENSGACT00000022959.3	otog
ENSGACT00000022960.1	otog
ENSGACT00000022961.1	otog
ENSGACT00000022974.1	zgc:171734
ENSGACT00000022994.1	atp6v0d1
ENSGACT00000023001.1	atp6v0d1
ENSGACT00000023005.1	atp6v0d1
ENSGACT00000023012.1	c1qtnf4
ENSGACT00000023018.1	ndufs3
ENSGACT00000023021.1	ndufs3
ENSGACT00000023024.1	ptpmt1
ENSGACT00000023025.1	ptpmt1
ENSGACT00000023036.1	prc1b
ENSGACT00000023045.1	vps33b
ENSGACT00000023049.1	vps33b
ENSGACT00000023053.1	hddc3
ENSGACT00000023057.1	hddc3
ENSGACT00000023061.1	mfap1
ENSGACT00000023064.2	mfap1
ENSGACT00000023067.1	hypk
ENSGACT00000023073.1	serinc4
ENSGACT00000023078.1	adamtsl5
ENSGACT00000023080.1	crtc3
ENSGACT00000023086.1	iqgap1
ENSGACT00000023091.1	iqgap1
ENSGACT00000023094.1	cdkn2aip
ENSGACT00000023103.1	tubgcp4
ENSGACT00000023116.1	map1aa
ENSGACT00000023120.1	ppip5k1a
ENSGACT00000023125.1	slc25a44b
ENSGACT00000023131.2	rbpms2b
ENSGACT00000023134.1	cpeb1b
ENSGACT00000023145.1	ccnb2
ENSGACT00000023149.2	kmt5b
ENSGACT00000023150.2	pole3
ENSGACT00000023156.1	rpl12
ENSGACT00000023158.1	rpl12
ENSGACT00000023161.1	rpl12
ENSGACT00000029590.1	RF00302
ENSGACT00000023163.1	kcng4b
ENSGACT00000023178.1	tppp3
ENSGACT00000023181.1	hsd11b2
ENSGACT00000023182.1	hsd11b2
ENSGACT00000023199.1	PLEKHG4
ENSGACT00000023203.1	slc9a5
ENSGACT00000023211.1	fhod1
ENSGACT00000023215.2	fhod1
ENSGACT00000023219.1	cebpg
ENSGACT00000023223.2	gpatch1
ENSGACT00000023227.1	wdr59
ENSGACT00000023231.1	wdr59
ENSGACT00000023240.1	nob1
ENSGACT00000023243.1	nob1
ENSGACT00000023246.1	nob1
ENSGACT00000023247.1	nob1
ENSGACT00000023255.1	cog8
ENSGACT00000023260.1	cog8
ENSGACT00000023264.2	katnb1
ENSGACT00000023274.1	kifc3
ENSGACT00000023277.1	kifc3
ENSGACT00000023297.1	anxa2b
ENSGACT00000023300.1	FOXB1 (1 of many)
ENSGACT00000023303.1	gtf2a2
ENSGACT00000023308.1	rnmt
ENSGACT00000023310.1	rnmt
ENSGACT00000023313.1	rnmt
ENSGACT00000023322.1	PPFIA1
ENSGACT00000023326.2	shank2
ENSGACT00000023335.1	guca1g
ENSGACT00000023343.1	si:ch211-288d18.1
ENSGACT00000023344.1	si:ch211-288d18.1
ENSGACT00000023346.1	si:ch211-71n6.4
ENSGACT00000023350.1	large2
ENSGACT00000023357.1	gpn1
ENSGACT00000023360.1	gpn1
ENSGACT00000023379.3	vps13c
ENSGACT00000023382.1	vps13c
ENSGACT00000023385.1	agrp
ENSGACT00000023394.1	zgc:136461
ENSGACT00000023401.1	zgc:136461
ENSGACT00000023415.1	zgc:112160
ENSGACT00000021007.1	rbpja
ENSGACT00000021008.1	hgsnat
ENSGACT00000021010.1	DCTN6
ENSGACT00000021012.1	DCTN6
ENSGACT00000021023.1	gtf2e2
ENSGACT00000021024.1	gtf2e2
ENSGACT00000021026.1	si:dkey-92j12.6
ENSGACT00000021046.1	tyrp1b
ENSGACT00000021050.1	tyrp1b
ENSGACT00000021056.1	kdm4c
ENSGACT00000021058.1	ecpas
ENSGACT00000021075.1	smc2
ENSGACT00000021080.2	clockb
ENSGACT00000021082.1	kitb
ENSGACT00000021083.1	fip1l1b
ENSGACT00000021087.1	chic2
ENSGACT00000021100.1	slc34a2a
ENSGACT00000021106.1	pde6ha (1 of many)
ENSGACT00000021107.1	pde6ha (1 of many)
ENSGACT00000021109.1	pde6ha (1 of many)
ENSGACT00000021110.1	pde6ha (1 of many)
ENSGACT00000021112.1	rbfox2
ENSGACT00000021113.1	rbfox2
ENSGACT00000021117.1	emp1
ENSGACT00000021121.1	zgc:101679
ENSGACT00000021124.1	zgc:101679
ENSGACT00000021128.1	grin2bb
ENSGACT00000021142.1	sept3
ENSGACT00000021145.3	sept3
ENSGACT00000021148.1	serhl
ENSGACT00000021149.1	serhl
ENSGACT00000021165.1	zgc:158803
ENSGACT00000021167.1	smdt1b
ENSGACT00000021173.1	KCNJ4
ENSGACT00000021174.1	KCNJ4
ENSGACT00000021177.1	SOX10 (1 of many)
ENSGACT00000021182.1	rnaseh2a
ENSGACT00000021194.1	atg4da
ENSGACT00000021196.1	atg4da
ENSGACT00000021212.1	pcdh7a
ENSGACT00000021214.1	crmp1
ENSGACT00000021218.1	wfs1a
ENSGACT00000021221.1	ppp2r2ca
ENSGACT00000021228.1	hpf1
ENSGACT00000021231.1	hpf1
ENSGACT00000021240.1	ank2a
ENSGACT00000021244.1	ank2a
ENSGACT00000021259.1	camk2d2
ENSGACT00000021260.1	camk2d2
ENSGACT00000021262.2	fbxo10
ENSGACT00000021266.1	polr1e
ENSGACT00000021269.2	ZBTB5
ENSGACT00000021272.1	grhprb
ENSGACT00000021278.1	si:dkey-82j4.2
ENSGACT00000021285.1	polq
ENSGACT00000021286.1	polq
ENSGACT00000021287.1	ptpn9b
ENSGACT00000021292.1	melk
ENSGACT00000021296.1	pax5
ENSGACT00000021298.1	pax5
ENSGACT00000021310.1	pgm2
ENSGACT00000021313.1	tbc1d1
ENSGACT00000021323.1	tbc1d1
ENSGACT00000021326.1	KLF3
ENSGACT00000021331.2	fam114a1
ENSGACT00000021335.1	klhl5
ENSGACT00000021344.1	wdr19
ENSGACT00000021350.1	rfc1
ENSGACT00000021362.1	rpl9
ENSGACT00000021366.1	rpl9
ENSGACT00000021379.1	lias
ENSGACT00000021385.1	lias
ENSGACT00000021390.1	ugdh
ENSGACT00000021398.1	ube2kb
ENSGACT00000021402.1	pds5a
ENSGACT00000021404.1	pds5a
ENSGACT00000021406.1	rhoh
ENSGACT00000021407.1	chrna9
ENSGACT00000021414.1	slit2
ENSGACT00000029021.1	MIR218-1
ENSGACT00000021416.1	LCORL
ENSGACT00000021424.1	ncapg
ENSGACT00000021434.1	apbb2b
ENSGACT00000021446.1	rbm47
ENSGACT00000021447.1	rbm47
ENSGACT00000021470.1	glrba
ENSGACT00000021473.1	glrba
ENSGACT00000021479.1	GLRA3
ENSGACT00000021498.1	tmem176
ENSGACT00000021503.1	vps37c
ENSGACT00000021504.1	vps37c
ENSGACT00000021512.1	RIN2 (1 of many)
ENSGACT00000021527.1	SLC24A3
ENSGACT00000021532.1	SLC24A3
ENSGACT00000021534.1	dtd1
ENSGACT00000021535.1	SMIM26
ENSGACT00000021555.1	slkb
ENSGACT00000021559.1	stn1
ENSGACT00000021563.1	stn1
ENSGACT00000021567.1	sh3pxd2aa
ENSGACT00000021571.1	sh3pxd2aa
ENSGACT00000021574.1	neurl1aa
ENSGACT00000021606.1	slc43a1b
ENSGACT00000021609.1	slc43a1b
ENSGACT00000021616.1	si:dkey-28b4.8
ENSGACT00000021627.1	p2rx3b
ENSGACT00000021633.1	p2rx3b
ENSGACT00000021639.1	ZDHHC5 (1 of many)
ENSGACT00000021656.1	si:ch211-113e8.3
ENSGACT00000021661.1	btr01
ENSGACT00000021675.1	vegfc
ENSGACT00000021698.1	dctd
ENSGACT00000021705.1	dctd
ENSGACT00000021712.1	fbxo8
ENSGACT00000021715.1	hand2
ENSGACT00000021723.1	kdm2aa
ENSGACT00000021728.1	spcs3
ENSGACT00000021730.1	spcs3
ENSGACT00000021742.1	galnt7
ENSGACT00000021745.1	saraf
ENSGACT00000021761.1	patl1
ENSGACT00000021775.1	mtus1b
ENSGACT00000021788.1	mtmr7b
ENSGACT00000021794.1	pmm2
ENSGACT00000021798.1	pmm2
ENSGACT00000021812.1	hmgb2a
ENSGACT00000021818.1	wdr17
ENSGACT00000021821.1	wdr17
ENSGACT00000021824.1	hpgd
ENSGACT00000021829.1	hpgd
ENSGACT00000021834.1	mad1l1
ENSGACT00000021846.1	ttyh3b
ENSGACT00000021860.1	fscn1b
ENSGACT00000021862.1	fscn1b
ENSGACT00000021866.1	PLK1
ENSGACT00000021872.1	rdh8b
ENSGACT00000021900.1	col5a3b
ENSGACT00000021905.1	col5a3b
ENSGACT00000021906.1	olfm2b
ENSGACT00000021915.1	trip10b
ENSGACT00000021924.1	SH2D3A
ENSGACT00000021929.1	SH2D3A
ENSGACT00000021934.1	VAV1
ENSGACT00000021938.1	UBL5
ENSGACT00000021941.1	pin1
ENSGACT00000021958.1	actb1
ENSGACT00000021960.1	fbxl18
ENSGACT00000021961.1	fbxl18
ENSGACT00000021966.1	ptcd1
ENSGACT00000021969.1	zgc:112980
ENSGACT00000021972.1	smcr8b
ENSGACT00000021978.1	mief2
ENSGACT00000021981.1	alkbh5
ENSGACT00000021995.1	myo15ab
ENSGACT00000022000.1	grin2ab
ENSGACT00000022003.1	abcg2b
ENSGACT00000022022.1	arpc1a
ENSGACT00000022024.1	arpc1a
ENSGACT00000022031.1	arpc1a
ENSGACT00000022036.1	arpc1b
ENSGACT00000022039.1	mmd2b
ENSGACT00000022044.1	radil
ENSGACT00000022048.1	foxk1
ENSGACT00000022069.1	cyp3a65 (1 of many)
ENSGACT00000022072.1	cyp3a65 (1 of many)
ENSGACT00000022081.1	cyp3a65 (1 of many)
ENSGACT00000022091.1	cyp3a65 (1 of many)
ENSGACT00000022117.1	sdk1a
ENSGACT00000022121.1	GNA12
ENSGACT00000022122.1	GNA12
ENSGACT00000022131.1	ern2
ENSGACT00000022132.1	ern2
ENSGACT00000022154.1	eif3bb
ENSGACT00000029121.1	RF00271
ENSGACT00000022157.1	brat1
ENSGACT00000022165.1	si:dkeyp-9d4.5
ENSGACT00000022166.1	si:dkeyp-9d4.4
ENSGACT00000029693.1	RF00271
ENSGACT00000029637.1	RF00271
ENSGACT00000029588.1	RF00271
ENSGACT00000029556.1	RF00271
ENSGACT00000022185.1	si:dkeyp-9d4.3
ENSGACT00000022187.1	socs1b
ENSGACT00000022190.1	prkcba
ENSGACT00000022193.1	cacng3a
ENSGACT00000022206.1	cacna1hb
ENSGACT00000022217.1	zgc:136472
ENSGACT00000022223.1	pdia2
ENSGACT00000022226.1	pdia2
ENSGACT00000022232.1	tmem131l
ENSGACT00000022239.1	mnd1
ENSGACT00000022251.1	trim2a
ENSGACT00000022254.1	trim2a
ENSGACT00000022255.2	fhdc1
ENSGACT00000022259.1	arfip1
ENSGACT00000022262.1	arfip1
ENSGACT00000022265.1	arfip1
ENSGACT00000022269.1	fam193a
ENSGACT00000022274.2	fam193a
ENSGACT00000022276.1	tnip2
ENSGACT00000022285.1	sfrp2
ENSGACT00000022288.1	sfrp2
ENSGACT00000022302.1	plrg1
ENSGACT00000022306.1	fgg
ENSGACT00000022308.1	lratb.2
ENSGACT00000022317.1	pdlim3a
ENSGACT00000022320.1	pdlim3a
ENSGACT00000022322.1	pdlim3a
ENSGACT00000022327.2	sorbs2a
ENSGACT00000022338.1	mtnr1ab
ENSGACT00000022345.1	fat1a
ENSGACT00000022359.1	frg1
ENSGACT00000022361.1	frg1
ENSGACT00000022391.1	asah1b
ENSGACT00000022398.1	asah1b
ENSGACT00000022420.1	asah1b
ENSGACT00000022431.3	pcm1
ENSGACT00000022436.2	SART1
ENSGACT00000022441.2	osbp
ENSGACT00000022444.1	casp3a
ENSGACT00000022446.1	stox2a
ENSGACT00000022451.1	tll1
ENSGACT00000022471.1	cpe
ENSGACT00000022474.1	msmo1
ENSGACT00000022476.1	klhl2
ENSGACT00000022479.1	med28
ENSGACT00000022523.1	lap3
ENSGACT00000022528.1	lap3
ENSGACT00000022534.1	lap3
ENSGACT00000022538.1	clrn2
ENSGACT00000022542.1	tapt1b
ENSGACT00000022550.1	prom1b
ENSGACT00000022620.1	anxa5b
ENSGACT00000022625.1	anxa5b
ENSGACT00000022626.1	anxa5b
ENSGACT00000022652.1	uchl1
ENSGACT00000022658.1	uchl1
ENSGACT00000022668.1	tmem192
ENSGACT00000022669.1	tmem192
ENSGACT00000022672.1	march1
ENSGACT00000022674.1	tma16
ENSGACT00000022679.1	tmem154
ENSGACT00000022682.1	tmem154
ENSGACT00000022684.1	dctpp1
ENSGACT00000022687.1	gatb
ENSGACT00000022689.1	fam160a1a
ENSGACT00000022701.1	sh3d19
ENSGACT00000022705.1	sh3d19
ENSGACT00000022708.1	sh3d19
ENSGACT00000022718.1	rps3a
ENSGACT00000022737.1	lrba
ENSGACT00000022740.1	mab21l2
ENSGACT00000022745.1	dclk2a
ENSGACT00000022747.1	dclk2a
ENSGACT00000022756.1	nr3c2
ENSGACT00000022757.1	nr3c2
ENSGACT00000022758.1	nr3c2
ENSGACT00000022765.1	arhgap10
ENSGACT00000022774.1	prmt9
ENSGACT00000022780.1	tmem184c
ENSGACT00000022783.1	ednraa
ENSGACT00000022785.2	pou4f2
ENSGACT00000022788.1	lsm6
ENSGACT00000022791.1	znf827
ENSGACT00000022793.1	mmaa
ENSGACT00000022796.1	smad1
ENSGACT00000022799.1	hhip
ENSGACT00000022807.1	frem3
ENSGACT00000022818.1	SMARCA5
ENSGACT00000022820.1	usp38
ENSGACT00000022825.1	gab1
ENSGACT00000022838.1	inpp4b
ENSGACT00000022843.1	inpp4b
ENSGACT00000022848.1	il-15
ENSGACT00000022850.1	znf330
ENSGACT00000022855.1	rnf150a
ENSGACT00000022863.1	tbc1d9
ENSGACT00000022876.1	ucp1
ENSGACT00000022882.1	elmod2
ENSGACT00000022885.1	elmod2
ENSGACT00000022908.1	fam13a
ENSGACT00000022914.1	herc3
ENSGACT00000022920.1	ppm1k
ENSGACT00000022923.1	ppm1k
ENSGACT00000022926.1	ppm1k
ENSGACT00000022934.1	abcg2d
ENSGACT00000022937.1	abcg2d
ENSGACT00000022946.1	pkd2
ENSGACT00000022948.1	pkd2
ENSGACT00000022953.1	g3bp2
ENSGACT00000022954.1	g3bp2
ENSGACT00000022983.2	uso1
ENSGACT00000022980.1	uso1
ENSGACT00000022986.1	uso1
ENSGACT00000022996.1	coro2a
ENSGACT00000022998.1	anp32b
ENSGACT00000023010.1	trmo
ENSGACT00000023016.1	foxe1
ENSGACT00000023020.1	sh3gl2a
ENSGACT00000023029.1	cntln
ENSGACT00000023034.1	bnc2
ENSGACT00000023038.2	PSIP1
ENSGACT00000023048.1	snapc3
ENSGACT00000023069.1	TTC39B
ENSGACT00000023083.1	dnajb14
ENSGACT00000023089.1	pla2g12a
ENSGACT00000023098.1	casp6
ENSGACT00000023100.1	casp6
ENSGACT00000023110.1	MCUB
ENSGACT00000023114.1	lef1
ENSGACT00000023126.1	cyp2u1
ENSGACT00000023136.1	cyp2u1
ENSGACT00000023141.1	cyp2u1
ENSGACT00000023146.1	cyp2u1
ENSGACT00000023151.1	cyp2u1
ENSGACT00000023154.1	sgms2a
ENSGACT00000023155.1	sgms2a
ENSGACT00000023159.1	papss1
ENSGACT00000023164.1	dkk2
ENSGACT00000023165.1	aimp1
ENSGACT00000023184.1	tbck
ENSGACT00000023187.1	tbck
ENSGACT00000023197.1	npnt
ENSGACT00000023201.1	npnt
ENSGACT00000023207.1	gstcd
ENSGACT00000023210.1	gstcd
ENSGACT00000023214.1	ints12
ENSGACT00000023217.1	ints12
ENSGACT00000023221.1	arhgef38
ENSGACT00000023226.1	ppa2
ENSGACT00000023228.1	ppa2
ENSGACT00000023234.1	tet2
ENSGACT00000023235.1	cxxc4
ENSGACT00000023238.1	cdkn2a/b
ENSGACT00000023239.1	cdkn2a/b
ENSGACT00000023251.1	mtap
ENSGACT00000023258.1	mtap
ENSGACT00000023261.1	mtap
ENSGACT00000023263.1	mtap
ENSGACT00000023266.1	toporsa
ENSGACT00000023273.1	ndufb6
ENSGACT00000023275.1	ndufb6
ENSGACT00000023292.1	mxd4
ENSGACT00000023296.1	mxd4
ENSGACT00000023311.1	pdcd4a
ENSGACT00000023314.1	mogs
ENSGACT00000023321.1	fbxo41
ENSGACT00000023329.1	smox
ENSGACT00000023334.1	smox
ENSGACT00000023338.1	rnf24
ENSGACT00000023341.1	si:ch211-217k17.7
ENSGACT00000023345.1	glb1
ENSGACT00000023348.1	glb1
ENSGACT00000023361.1	cldnd1b
ENSGACT00000023364.1	acy3.2
ENSGACT00000023366.1	acy3.2
ENSGACT00000023368.1	acy3.2
ENSGACT00000023372.1	acy3.2
ENSGACT00000023377.1	tacr3l
ENSGACT00000023383.1	primpol
ENSGACT00000023441.1	ACSL1 (1 of many)
ENSGACT00000023444.1	ACSL1 (1 of many)
ENSGACT00000023447.1	helt
ENSGACT00000023476.1	slc25a4
ENSGACT00000023485.1	slc25a4
ENSGACT00000023492.1	slc25a4
ENSGACT00000023508.1	slc25a4
ENSGACT00000023516.1	ufsp2
ENSGACT00000023519.1	ufsp2
ENSGACT00000023523.1	gucy1a1
ENSGACT00000023527.1	gucy1a1
ENSGACT00000023552.1	gucy1b1
ENSGACT00000023559.1	fabp2
ENSGACT00000023567.1	usp53b
ENSGACT00000023569.1	usp53b
ENSGACT00000023574.1	myoz2b
ENSGACT00000023576.1	myoz2b
ENSGACT00000023583.1	psmd5
ENSGACT00000023597.1	slc22a7b.3
ENSGACT00000023599.1	slc22a7b.3
ENSGACT00000023616.1	DHX15 (1 of many)
ENSGACT00000023619.1	sod3b
ENSGACT00000023623.1	ccdc149b
ENSGACT00000023627.1	lgi2b
ENSGACT00000023629.1	lgi2b
ENSGACT00000023640.1	mttp
ENSGACT00000023642.1	tspan5a (1 of many)
ENSGACT00000023645.1	acer2
ENSGACT00000023657.1	rps6
ENSGACT00000023667.1	smu1b
ENSGACT00000023678.1	dnaja1
ENSGACT00000023679.1	dnaja1
ENSGACT00000023681.1	aptx
ENSGACT00000023690.1	sparcl1
ENSGACT00000023692.1	odam
ENSGACT00000023695.1	cnga1a
ENSGACT00000023699.1	TACR3
ENSGACT00000023718.1	bdh2
ENSGACT00000023729.1	si:dkey-162b23.4
ENSGACT00000023734.1	cisd2
ENSGACT00000023782.1	suclg1
ENSGACT00000023785.1	suclg1
ENSGACT00000023788.1	suclg1
ENSGACT00000023792.1	suclg1
ENSGACT00000023793.1	suclg1
ENSGACT00000023803.1	suclg1
ENSGACT00000023804.1	suclg1
ENSGACT00000023811.1	ctnna2
ENSGACT00000023813.1	ctnna2
ENSGACT00000023815.1	lrrtm1
ENSGACT00000023817.1	adra1d
ENSGACT00000023839.1	mettl14
ENSGACT00000023843.1	mettl14
ENSGACT00000023855.1	prss12
ENSGACT00000023856.1	prss12
ENSGACT00000023858.1	ndst3
ENSGACT00000023860.1	ugt8
ENSGACT00000023864.1	ugt8
ENSGACT00000023867.1	spock3
ENSGACT00000023868.1	spock3
ENSGACT00000023876.1	dlc1
ENSGACT00000023886.1	lonrf1l
ENSGACT00000023890.1	cabp4
ENSGACT00000023893.1	doc2d
ENSGACT00000023898.1	serping1
ENSGACT00000023900.1	tmem134
ENSGACT00000023902.1	tmem134
ENSGACT00000023908.1	aip
ENSGACT00000023911.1	aip
ENSGACT00000023912.1	cdk2ap2
ENSGACT00000023915.1	si:dkey-27p18.2
ENSGACT00000023917.1	ankrd49
ENSGACT00000023940.1	si:dkey-7i4.5
ENSGACT00000023950.1	eef1a1b
ENSGACT00000023955.1	kcnq5b
ENSGACT00000023958.1	kcnq5b
ENSGACT00000023964.1	RIMS1 (1 of many)
ENSGACT00000023965.1	RIMS1 (1 of many)
ENSGACT00000023966.1	RIMS1 (1 of many)
ENSGACT00000023968.1	krt97
ENSGACT00000023969.1	krt97
ENSGACT00000023974.1	krt222
ENSGACT00000023975.1	TNS4
ENSGACT00000023977.1	ccr7
ENSGACT00000023981.1	SMARCE1 (1 of many)
ENSGACT00000023985.1	SMARCE1 (1 of many)
ENSGACT00000023988.1	IGFBP4
ENSGACT00000023990.1	IGFBP4
ENSGACT00000023993.1	IGFBP4
ENSGACT00000023997.2	MLLT6
ENSGACT00000024007.1	PCGF2
ENSGACT00000024023.2	PIP4K2B
ENSGACT00000024026.1	PIP4K2B
ENSGACT00000024031.1	psmb3
ENSGACT00000024033.2	cwc25
ENSGACT00000024034.1	sp6
ENSGACT00000024036.1	scrn2
ENSGACT00000024038.1	scrn2
ENSGACT00000024039.1	scrn2
ENSGACT00000024046.1	PLA2G12B (1 of many)
ENSGACT00000024051.1	QPRT
ENSGACT00000024052.1	QPRT
ENSGACT00000024055.1	ppp1r12c
ENSGACT00000024074.1	ppp1r27b
ENSGACT00000024084.1	p4hb
ENSGACT00000024086.1	p4hb
ENSGACT00000024087.1	p4hb
ENSGACT00000024088.1	p4hb
ENSGACT00000024096.1	rptor
ENSGACT00000024097.1	NPTX1 (1 of many)
ENSGACT00000024098.1	NPTX1 (1 of many)
ENSGACT00000024100.1	NPTX1 (1 of many)
ENSGACT00000024103.1	ENDOV
ENSGACT00000024104.1	ENDOV
ENSGACT00000024106.1	ENDOV
ENSGACT00000024112.1	si:dkey-237i9.1
ENSGACT00000024113.1	si:dkey-237i9.1
ENSGACT00000024114.1	rasal3
ENSGACT00000024119.1	trim25 (1 of many)
ENSGACT00000024120.1	trim25 (1 of many)
ENSGACT00000024126.1	dgke
ENSGACT00000024127.1	si:dkey-31g6.6
ENSGACT00000024130.1	cbx8b
ENSGACT00000024132.1	cbx8b
ENSGACT00000024133.1	CBX4 (1 of many)
ENSGACT00000024135.1	card14
ENSGACT00000024136.1	ccdc40
ENSGACT00000024139.1	TEX2
ENSGACT00000024147.1	SMURF2
ENSGACT00000024155.1	pdcd11
ENSGACT00000024157.1	pdcd11
ENSGACT00000024164.1	taf5
ENSGACT00000024167.1	inab
ENSGACT00000024181.1	nt5c2b
ENSGACT00000024183.1	cnnm2b
ENSGACT00000024190.1	as3mt
ENSGACT00000024192.1	as3mt
ENSGACT00000024194.1	as3mt
ENSGACT00000024198.1	as3mt
ENSGACT00000024201.1	wbp1lb
ENSGACT00000024203.1	poll
ENSGACT00000024205.1	dpcd
ENSGACT00000024207.1	fgf8b
ENSGACT00000024223.1	slc2a15b
ENSGACT00000024228.1	cenpk
ENSGACT00000024232.1	smap1
ENSGACT00000024235.1	si:ch211-156l18.7
ENSGACT00000024237.1	si:ch211-156l18.7
ENSGACT00000024242.1	krt98
ENSGACT00000024244.1	krt98
ENSGACT00000024245.1	krt98
ENSGACT00000024247.1	krt98
ENSGACT00000024253.1	krt15
ENSGACT00000024263.1	krt15
ENSGACT00000024266.1	krt15
ENSGACT00000024268.1	krt15
ENSGACT00000024269.1	krt15
ENSGACT00000024274.1	krt99
ENSGACT00000024277.1	si:dkey-28e7.3
ENSGACT00000024280.1	jupa
ENSGACT00000024284.1	KCNIP2 (1 of many)
